image,labels
000000000139.jpg,machine:0.7788;consumer_electronics:0.7788;television:0.7788;structure:0.7442;wood_processed:0.6567;interior_room:0.6557;living_room:0.6548;furniture:0.6063
000000001761.jpg,outdoor:0.8962;cloudy:0.8960;sky:0.8960;structure:0.6948;bridge:0.6938;aircraft:0.5767;machine:0.5767;vehicle:0.5767
000000001818.jpg,animal:0.9946;mammal:0.9946;ungulates:0.9946;zebra:0.9946;grass:0.3496;land:0.3496;outdoor:0.3496;plant:0.0283
000000001993.jpg,structure:0.8946;conveyance:0.8057;portal:0.8057;window:0.7979;furniture:0.7796;table:0.7192;bed:0.6094;bedding:0.5723
000000002006.jpg,machine:0.9274;vehicle:0.9272;automobile:0.9272;bus:0.9272;outdoor:0.3918;land:0.3918;road:0.3882;street:0.3882
000000002149.jpg,food:0.9365;fruit:0.9365;apple:0.9365;tableware:0.4987;utensil:0.4987;plate:0.4551;bowl:0.3752;citrus_fruit:0.0855
000000002153.jpg,recreation:0.9170;sport:0.9170;ballgames:0.9170;baseball:0.9170;people:0.8428;adult:0.8428;outdoor:0.7334;grass:0.7334
000000002157.jpg,utensil:0.9429;tableware:0.9429;plate:0.8872;material:0.8052;textile:0.8052;drinking_glass:0.8022;knife:0.6997;tool:0.6997
000000002261.jpg,people:0.8433;adult:0.8433;recreation:0.4865;sport:0.4865;watersport:0.4541;surfing:0.4492;sports_equipment:0.3447;wetsuit:0.3218
000000002299.jpg,people:0.8405;adult:0.7148;crowd:0.6812;child:0.6045;clothing:0.4670;suit:0.4587;teen:0.2300;structure:0.1497
000000002431.jpg,structure:0.9287;tableware:0.9279;utensil:0.9279;drinking_glass:0.8843;wood_processed:0.8525;furniture:0.8223;table:0.8223;plate:0.7583
000000002473.jpg,frozen:0.8428;liquid:0.8428;snow:0.8428;water:0.8428;blue_sky:0.8047;outdoor:0.8047;sky:0.8047;recreation:0.7763
000000002532.jpg,outdoor:0.9690;sky:0.9685;blue_sky:0.9019;cloudy:0.8960;frozen:0.8945;liquid:0.8945;snow:0.8945;water:0.8945
000000002587.jpg,food:0.8516;fruit:0.8516;banana:0.8516;apple:0.0625;pear:0.0623;people:0.0413;adult:0.0413;material:0.0231
000000002592.jpg,tableware:0.5894;utensil:0.5894;mug:0.5894;tool:0.2062;knife:0.2034;scissors:0.0996;art:0.0977;illustrations:0.0977
000000002685.jpg,people:0.9523;adult:0.9521;structure:0.9116;wood_processed:0.9023;furniture:0.5250;cabinet:0.5234;clothing:0.3598;headgear:0.3533
000000002923.jpg,outdoor:0.9873;sky:0.9590;cloudy:0.9590;grass:0.9072;land:0.9072;machine:0.0558;vehicle:0.0558;aircraft:0.0557
000000003156.jpg,adult:0.9414;people:0.9414;structure:0.5686;conveyance:0.5684;portal:0.5684;window:0.5684;clothing:0.4867;jeans:0.4866
000000003255.jpg,frozen:0.7251;liquid:0.7251;snow:0.7251;water:0.7251;outdoor:0.7145;sky:0.6548;blue_sky:0.6548;land:0.5538
000000003501.jpg,food:0.9596;rice:0.8936;vegetable:0.8706;broccoli:0.8706;tableware:0.6652;utensil:0.6652;plate:0.6646;seasonings:0.3476
000000003553.jpg,clothing:0.8125;footwear:0.8125;shoes:0.8125;sneaker:0.8125;recreation:0.7710;skating:0.6921;skateboarding:0.6919;land:0.6597
000000003661.jpg,structure:0.9251;food:0.9243;fruit:0.9243;banana:0.9243;wood_processed:0.9224;conveyance:0.3875;portal:0.3875;window:0.3875
000000003845.jpg,food:0.9880;structure:0.9687;tableware:0.9658;utensil:0.9658;wood_processed:0.9609;rice:0.9526;vegetable:0.9251;broccoli:0.9248
000000003934.jpg,structure:0.9662;people:0.9485;wood_processed:0.9385;adult:0.8774;material:0.8756;textile:0.8755;child:0.8540;furniture:0.8066
000000004134.jpg,clothing:0.9737;people:0.9577;suit:0.9556;adult:0.9365;material:0.8560;textile:0.8560;necktie:0.7910;crowd:0.7471
000000004395.jpg,adult:0.9131;people:0.9131;clothing:0.8896;necktie:0.8262;suit:0.7402;structure:0.0635;wood_processed:0.0635;material:0.0235
000000004495.jpg,art:0.8711;decoration:0.8711;frame:0.8711;structure:0.7142;furniture:0.6815;material:0.6491;textile:0.6484;cabinet:0.6343
000000004765.jpg,people:0.6167;adult:0.6074;child:0.3147;recreation:0.3085;sport:0.3085;sports_equipment:0.2991;surfboard:0.2991;structure:0.2220
000000004795.jpg,machine:0.6944;consumer_electronics:0.6944;computer:0.6944;animal:0.6061;mammal:0.6061;cat:0.6061;feline:0.6061;adult_cat:0.6060
000000005001.jpg,people:0.9490;adult:0.9102;art:0.8804;balloon:0.8804;decoration:0.8804;crowd:0.6958;child:0.6787;structure:0.5933
000000005037.jpg,machine:0.9713;vehicle:0.9712;automobile:0.9712;bus:0.9712;outdoor:0.8914;sky:0.8286;cloudy:0.8286;land:0.7416
000000005060.jpg,structure:0.9665;wood_processed:0.9570;people:0.9521;adult:0.9521;furniture:0.6309;cabinet:0.6309;conveyance:0.4838;portal:0.4838
000000005193.jpg,people:0.9365;adult:0.9365;art:0.6691;decoration:0.6686;flag:0.6685;recreation:0.4954;camera:0.4944;clothing:0.4537
000000005477.jpg,machine:0.9336;aircraft:0.9336;airplane:0.9336;vehicle:0.9336;outdoor:0.7777;sky:0.7730;cloudy:0.7725;structure:0.4075
000000005503.jpg,toilet_seat:0.9468;tool:0.9468;material:0.3546;textile:0.3545;container:0.1336;trash_can:0.1335;bathroom:0.1230;interior_room:0.1230
000000005529.jpg,frozen:0.9365;liquid:0.9365;snow:0.9365;water:0.9365;recreation:0.8991;sport:0.8991;skiing:0.8418;winter_sport:0.8418
000000005586.jpg,people:0.9752;adult:0.9150;crowd:0.9082;recreation:0.7806;sport:0.7798;ballgames:0.7798;tennis:0.7798;structure:0.3736
000000005600.jpg,utensil:0.8754;tableware:0.8754;bowl:0.8345;plate:0.6675;material:0.6245;textile:0.6245;structure:0.1472;food:0.1380
000000005992.jpg,grass:0.7690;land:0.7690;outdoor:0.7690;animal:0.7066;mammal:0.7066;ungulates:0.7066;sheep:0.7065;material:0.7017
000000006012.jpg,food:0.8103;fruit:0.8103;banana:0.8101;material:0.3083;textile:0.3083;apple:0.1719;tableware:0.1716;utensil:0.1716
000000006040.jpg,machine:0.9385;vehicle:0.9385;streetcar:0.9385;structure:0.8481;railroad:0.8481;tramway:0.8481;outdoor:0.5418;sky:0.5405
000000006213.jpg,structure:0.9860;cabinet:0.8813;furniture:0.8813;wood_processed:0.8149;material:0.8148;textile:0.7100;curtain:0.7070;conveyance:0.6706
000000006460.jpg,recreation:0.5724;sport:0.5724;watersport:0.4973;surfing:0.4973;sports_equipment:0.4709;surfboard:0.4709;liquid:0.2361;water:0.2361
000000006471.jpg,recreation:0.9910;sport:0.9910;ballgames:0.9858;baseball:0.9858;people:0.9565;adult:0.9565;outdoor:0.9478;grass:0.9478
000000006614.jpg,structure:0.1848;rocks:0.1848;container:0.1519;carton:0.1519;food:0.0498;fruit:0.0493;grape:0.0491;celebration:0.0256
000000006723.jpg,outdoor:0.9910;sky:0.9517;land:0.9467;cloudy:0.9102;road:0.8883;street:0.8882;blue_sky:0.8086;grass:0.7993
000000006763.jpg,people:0.9414;adult:0.9414;eyeglasses:0.6230;optical_equipment:0.6230;machine:0.4457;consumer_electronics:0.4457;television:0.4456;art:0.2986
000000006771.jpg,people:0.9137;adult:0.9111;crowd:0.3975;clothing:0.2210;headgear:0.2208;hat:0.2195;baseball_hat:0.2195;art:0.1828
000000006818.jpg,toilet_seat:0.8276;tool:0.8276;bathroom:0.3039;interior_room:0.3039;shower:0.2986;structure:0.2459;conveyance:0.2459;portal:0.2459
000000006894.jpg,adult:0.8853;people:0.8853;optical_equipment:0.6726;eyeglasses:0.6641;outdoor:0.4456;land:0.4456;hill:0.4456;animal:0.4436
000000006954.jpg,grass:0.9487;land:0.9487;outdoor:0.9487;people:0.8716;child:0.8716;recreation:0.8361;sport:0.8361;ball:0.8359
000000007088.jpg,umbrella:0.9531;utensil:0.9531;plant:0.8521;shrub:0.8521;people:0.8057;child:0.8057;clothing:0.7535;jacket:0.7495
000000007108.jpg,animal:0.9375;mammal:0.9375;elephant:0.9375;outdoor:0.6137;sky:0.6136;cloudy:0.6123;blue_sky:0.1938;structure:0.1002
000000007278.jpg,recreation:0.8301;sport:0.8301;watersport:0.8071;surfing:0.8071;sports_equipment:0.5442;surfboard:0.5405;adult:0.4705;people:0.4705
000000007281.jpg,outdoor:0.9773;sky:0.9766;blue_sky:0.9150;cloudy:0.9141;liquid:0.8921;ocean:0.8921;water:0.8921;water_body:0.8921
000000007386.jpg,outdoor:0.9455;land:0.9424;grass:0.9424;machine:0.8534;wheel:0.8527;tire:0.8525;sky:0.4722;blue_sky:0.4722
000000007511.jpg,outdoor:0.9851;sky:0.9835;cloudy:0.9390;blue_sky:0.9185;people:0.9092;adult:0.9092;clothing:0.7339;jeans:0.7339
000000007574.jpg,structure:0.9293;furniture:0.8564;cabinet:0.8564;wood_processed:0.8188;interior_room:0.6037;kitchen:0.6037;kitchen_countertop:0.5479;container:0.5306
000000007784.jpg,blue_sky:0.8613;outdoor:0.8613;sky:0.8613;kite:0.6714;toy:0.6714;parachute:0.3657;tool:0.3657;aircraft:0.0435
000000007795.jpg,structure:0.8474;interior_room:0.8115;bedroom:0.8115;furniture:0.7442;bed:0.7432;bedding:0.7368;housewares:0.7368;wood_processed:0.6968
000000007816.jpg,people:0.8706;adult:0.8706;land:0.8646;outdoor:0.8646;grass:0.8638;structure:0.6680;fence:0.6680;clothing:0.6006
000000007818.jpg,container:0.7319;vase:0.7310;art:0.5284;decoration:0.5284;bouquet:0.5283;flower_arrangement:0.5283;material:0.4222;textile:0.4104
000000007888.jpg,light:0.3169;lamppost:0.3169;outdoor:0.0740;sky:0.0740;cloudy:0.0740;liquid:0.0212;water:0.0212;water_body:0.0212
000000007977.jpg,recreation:0.9859;skating:0.9629;skateboarding:0.9443;skateboard:0.8828;sport:0.8828;sports_equipment:0.8828;people:0.8161;adult:0.8154
000000007991.jpg,utensil:0.6340;tableware:0.6340;plate:0.6323;food:0.4324;vegetable:0.4322;carrot:0.4160;interior_room:0.2791;kitchen:0.2791
000000008021.jpg,people:0.9360;adult:0.9360;clothing:0.8844;suit:0.8843;consumer_electronics:0.1827;machine:0.1827;television:0.1826;necktie:0.1816
000000008211.jpg,machine:0.9125;vehicle:0.9125;people:0.8999;adult:0.8999;scooter:0.8286;motorcycle:0.8047;outdoor:0.5707;land:0.5699
000000008277.jpg,tableware:0.7675;utensil:0.7675;plate:0.7231;bowl:0.5181;spoon:0.4207;food:0.3848;soup:0.3547;seasonings:0.2796
000000008532.jpg,eyeglasses:0.9058;optical_equipment:0.9058;people:0.8677;adult:0.8677;clothing:0.6068;necktie:0.6060;suit:0.1648;structure:0.1396
000000008629.jpg,tableware:0.6885;utensil:0.6885;plate:0.6885;food:0.2967;pizza:0.2966;fork:0.0642;rice:0.0366;omelet:0.0234
000000008690.jpg,grass:0.8975;land:0.8975;outdoor:0.8975;structure:0.8867;fence:0.8867;people:0.8496;child:0.8491;animal:0.6616
000000008762.jpg,outdoor:0.5290;sky:0.4754;blue_sky:0.4700;land:0.4114;hill:0.3916;light:0.3321;traffic_light:0.3115;road:0.2693
000000008844.jpg,adult:0.9355;people:0.9355;food:0.7157;fruit:0.7157;banana:0.7153;structure:0.5586;wood_processed:0.5562;sign:0.2039
000000008899.jpg,structure:0.9488;conveyance:0.9475;portal:0.9474;outdoor:0.9214;land:0.9213;path:0.9121;art:0.9121;graffiti:0.9121
000000009378.jpg,people:0.9361;adult:0.9360;clothing:0.5331;headgear:0.5328;hat:0.5327;beanie:0.5327;crowd:0.1765;recreation:0.1386
000000009400.jpg,people:0.8945;adult:0.8945;consumer_electronics:0.7935;machine:0.7935;computer:0.7935;laptop:0.7734;tableware:0.5297;utensil:0.5297
000000009448.jpg,umbrella:0.9639;utensil:0.9639;clothing:0.8312;jeans:0.8237;people:0.7437;child:0.7437;hoodie:0.4128;jacket:0.1853
000000009483.jpg,adult:0.9458;people:0.9458;structure:0.7880;furniture:0.7214;desk:0.6543;machine:0.6300;consumer_electronics:0.6297;computer:0.6296
000000009590.jpg,structure:0.9728;people:0.9482;adult:0.9482;wood_processed:0.8984;material:0.8332;curtain:0.8330;conveyance:0.8272;portal:0.8272
000000009769.jpg,frozen:0.9102;liquid:0.9102;snow:0.9102;water:0.9102;machine:0.5718;vehicle:0.5690;automobile:0.5690;truck:0.5078
000000009772.jpg,structure:0.9648;bathroom:0.6810;interior_room:0.6810;material:0.6579;textile:0.6548;conveyance:0.6299;portal:0.6299;door:0.6299
000000009891.jpg,adult:0.9204;people:0.9204;machine:0.7541;vehicle:0.7512;automobile:0.7509;car:0.7500;clothing:0.7135;jeans:0.7134
000000009914.jpg,food:0.9542;fries:0.9146;seed:0.7402;sesame:0.7402;tableware:0.7296;utensil:0.7296;plate:0.6504;meat:0.6030
000000010092.jpg,structure:0.9207;furniture:0.8615;bedroom:0.8501;interior_room:0.8501;bed:0.8452;bedding:0.8076;housewares:0.8076;material:0.7244
000000010363.jpg,animal:0.7427;mammal:0.7427;cat:0.7427;feline:0.7427;adult_cat:0.7427;container:0.6280;cardboard_box:0.6279;structure:0.5531
000000010583.jpg,tableware:0.7734;utensil:0.7734;plate:0.7646;food:0.6255;vegetable:0.6255;tomato:0.6255;bowl:0.3928;material:0.1175
000000010707.jpg,people:0.9153;adult:0.9150;structure:0.9097;furniture:0.8429;sofa:0.8208;conveyance:0.7393;portal:0.7393;window:0.7393
000000010764.jpg,grass:0.9077;land:0.9077;outdoor:0.9077;recreation:0.8939;sport:0.8939;ballgames:0.8931;baseball:0.8931;adult:0.8730
000000010977.jpg,structure:0.9238;cabinet:0.8008;furniture:0.8008;wood_processed:0.7573;conveyance:0.6938;portal:0.6938;window:0.6650;material:0.6649
000000010995.jpg,material:0.8858;curtain:0.8857;bedding:0.8535;housewares:0.8535;structure:0.8441;furniture:0.7418;bed:0.7417;bedroom:0.7310
000000011051.jpg,people:0.9092;adult:0.9092;clothing:0.7287;suit:0.7090;necktie:0.4045;art:0.2743;decoration:0.2743;flower_arrangement:0.2742
000000011122.jpg,structure:0.9124;fence:0.8608;sign:0.7509;plant:0.6769;palm_tree:0.6587;tree:0.6587;outdoor:0.3753;land:0.3753
000000011149.jpg,people:0.7910;adult:0.7910;machine:0.7600;vehicle:0.7027;bicycle:0.7026;structure:0.6172;fence:0.6099;plant:0.6061
000000011197.jpg,outdoor:0.9675;land:0.9675;road:0.9170;street:0.9170;adult:0.8970;people:0.8970;path:0.8718;sidewalk:0.8716
000000011511.jpg,art:0.9107;statue:0.9106;people:0.6959;adult:0.6943;structure:0.3621;conveyance:0.3599;stairs:0.3599;clothing:0.3593
000000011615.jpg,sign:0.7378;structure:0.7378;street_sign:0.7378;outdoor:0.0808;sky:0.0787;cloudy:0.0786;land:0.0454;grass:0.0454
000000011699.jpg,people:0.8823;adult:0.8823;container:0.6467;luggage:0.6467;suitcase:0.6406;clothing:0.3100;jeans:0.3098;purse:0.2964
000000011760.jpg,animal:0.9824;mammal:0.9824;ungulates:0.9824;zebra:0.9824;outdoor:0.6392;land:0.6392;grass:0.6392;structure:0.1998
000000011813.jpg,structure:0.9241;tripod:0.9233;furniture:0.2963;table:0.2961;camera:0.2285;wood_processed:0.1721;cord:0.1250;machine:0.1148
000000012062.jpg,animal:0.7232;mammal:0.7232;sheep:0.7227;ungulates:0.7227;structure:0.5045;fence:0.5044;bear:0.1873;frozen:0.0833
000000012120.jpg,people:0.9164;recreation:0.8576;sport:0.8574;ballgames:0.8569;tennis:0.8569;crowd:0.8413;adult:0.7998;structure:0.5475
000000012280.jpg,structure:0.7511;people:0.6641;adult:0.6641;material:0.2722;raw_glass:0.2722;container:0.2590;luggage:0.2590;suitcase:0.2588
000000012576.jpg,food:0.8877;pizza:0.8877;tableware:0.8610;utensil:0.8610;drinking_glass:0.8496;structure:0.6770;furniture:0.6768;table:0.6768
000000012639.jpg,land:0.9312;outdoor:0.9312;grass:0.9312;people:0.7748;adult:0.6714;child:0.6533;recreation:0.5046;sport:0.5046
000000012667.jpg,phone:0.6421;machine:0.5176;keypad:0.5176;document:0.2413;printed_page:0.2412;cord:0.1792;banana:0.1021;food:0.1021
000000012670.jpg,people:0.9507;crowd:0.9116;adult:0.7886;clothing:0.5119;jacket:0.4424;child:0.4155;hoodie:0.3984;teen:0.2656
000000012748.jpg,people:0.8492;child:0.8394;clothing:0.6943;jeans:0.6943;animal:0.5638;mammal:0.5638;ungulates:0.5638;horse:0.5620
000000013004.jpg,tableware:0.8677;utensil:0.8677;plate:0.8638;structure:0.8555;wood_processed:0.8555;bowl:0.3884;food:0.0709;soup:0.0701
000000013177.jpg,people:0.8345;adult:0.8345;machine:0.8250;wheel:0.8238;tire:0.8223;container:0.3794;luggage:0.3794;backpack:0.3794
000000013201.jpg,land:0.9312;outdoor:0.9312;grass:0.9312;recreation:0.9079;skating:0.8684;people:0.8527;structure:0.8511;fence:0.8511
000000013291.jpg,outdoor:0.9853;grass:0.9380;land:0.9380;sky:0.9292;blue_sky:0.9292;people:0.8514;adult:0.8511;frisbee:0.7012
000000013348.jpg,outdoor:0.9321;sky:0.9321;machine:0.9102;vehicle:0.9102;aircraft:0.9102;airplane:0.9102;cloudy:0.8525;blue_sky:0.8325
000000013546.jpg,land:0.9518;outdoor:0.9518;grass:0.9517;recreation:0.6960;people:0.6910;adult:0.6909;art:0.6655;graffiti:0.6655
000000013597.jpg,plate:0.8984;tableware:0.8984;utensil:0.8984;food:0.5827;dessert:0.5411;brownie:0.5410;candy:0.4237;chocolate:0.4236
000000013659.jpg,people:0.9336;adult:0.9336;structure:0.7852;furniture:0.7830;machine:0.7435;consumer_electronics:0.7435;computer:0.7435;laptop:0.6929
000000013729.jpg,structure:0.9674;wood_processed:0.9360;people:0.9351;adult:0.9351;art:0.9297;decoration:0.9297;frame:0.9297;material:0.8213
000000013774.jpg,outdoor:0.9172;sky:0.9114;sunset_sunrise:0.8989;blue_sky:0.5713;daytime:0.4666;sun:0.4666;liquid:0.4382;water:0.4382
000000013923.jpg,structure:0.9595;wood_processed:0.8687;furniture:0.8613;interior_room:0.8258;living_room:0.8257;table:0.7109;conveyance:0.6796;portal:0.6796
000000014007.jpg,animal:0.6904;cat:0.6904;feline:0.6904;mammal:0.6904;adult_cat:0.6904;art:0.3586;statue:0.3586;toy:0.1372
000000014038.jpg,structure:0.9079;wood_processed:0.8843;art:0.7598;decoration:0.7598;balloon:0.7539;material:0.7401;textile:0.6655;furniture:0.6451
000000014226.jpg,people:0.7788;adult:0.7788;consumer_electronics:0.4966;machine:0.4966;computer:0.4966;laptop:0.4966;clothing:0.4016;suit:0.4014
000000014380.jpg,outdoor:0.9635;sky:0.9612;cloudy:0.9067;structure:0.8655;blue_sky:0.8604;bridge:0.8311;fence:0.6284;land:0.4888
000000014439.jpg,land:0.9420;outdoor:0.9420;grass:0.9419;people:0.9106;adult:0.9092;structure:0.5951;fence:0.5918;clothing:0.5460
000000014473.jpg,machine:0.7250;train:0.7250;vehicle:0.7250;toy:0.7095;train_toy:0.7095;structure:0.5607;railroad:0.5225;track_rail:0.5225
000000014831.jpg,material:0.5615;textile:0.5615;animal:0.2368;mammal:0.2368;cat:0.2368;feline:0.2368;adult_cat:0.2368;structure:0.0308
000000014888.jpg,material:0.1870;animal:0.1292;mammal:0.1292;ungulates:0.1291;horse:0.1104;donkey:0.1067;structure:0.0721;wood_natural:0.0708
000000015079.jpg,tableware:0.9345;utensil:0.9345;plate:0.9341;knife:0.4353;tool:0.4353;food:0.4328;baked_goods:0.3731;bread:0.3730
000000015254.jpg,food:0.9218;rice:0.8413;vegetable:0.8155;carrot:0.8149;potato:0.2051;fruit:0.1606;grape:0.1606;cucumber:0.1453
000000015272.jpg,light:0.7461;traffic_light:0.7461;plant:0.6724;blossom:0.5908;flower:0.5908;branch:0.5537;structure:0.0640;conveyance:0.0593
000000015278.jpg,food:0.9653;vegetable:0.9653;broccoli:0.9653;plate:0.6587;tableware:0.6587;utensil:0.6587;stir_fry:0.0581;potato:0.0452
000000015335.jpg,people:0.9341;adult:0.9341;tableware:0.4090;utensil:0.4090;drinking_glass:0.4089;structure:0.3629;furniture:0.3438;table:0.3384
000000015338.jpg,outdoor:0.7813;land:0.7810;road:0.7564;street:0.7563;machine:0.7255;vehicle:0.7255;automobile:0.7255;bus:0.7251
000000015440.jpg,structure:0.4693;sign:0.4562;street_sign:0.4497;fence:0.2717;outdoor:0.1784;land:0.1782;road:0.1754;street:0.1753
000000015497.jpg,animal:0.7710;cat:0.7710;feline:0.7710;mammal:0.7710;adult_cat:0.7710;material:0.3713;textile:0.3713;cord:0.1279
000000015517.jpg,outdoor:0.9799;sky:0.9742;cloudy:0.9331;blue_sky:0.8765;structure:0.7220;fence:0.7124;land:0.6703;road:0.6676
000000015597.jpg,people:0.8623;adult:0.8623;recreation:0.7802;skating:0.7587;skatepark:0.7188;outdoor:0.7163;sky:0.7163;blue_sky:0.7163
000000015660.jpg,outdoor:0.9882;sky:0.9882;cloudy:0.9473;blue_sky:0.9341;liquid:0.9189;ocean:0.9189;water:0.9189;water_body:0.9189
000000015746.jpg,structure:0.8543;hydrant:0.8394;outdoor:0.8057;land:0.8057;grass:0.8057;conveyance:0.5171;portal:0.5171;window:0.5171
000000015751.jpg,structure:0.8560;wood_processed:0.8560;material:0.2432;animal:0.0416;arthropods:0.0413;insect:0.0413;ant:0.0356;textile:0.0332
000000015956.jpg,people:0.7882;adult:0.7881;structure:0.7451;wood_processed:0.7344;fence:0.3882;animal:0.3141;mammal:0.3141;ungulates:0.3141
000000016010.jpg,outdoor:0.9839;land:0.9581;grass:0.9580;sky:0.8799;cloudy:0.8799;structure:0.8120;wood_natural:0.8096;animal:0.3415
000000016228.jpg,animal:0.7832;mammal:0.7832;ungulates:0.7832;horse:0.7832;people:0.7363;adult:0.7197;machine:0.5274;vehicle:0.5274
000000016249.jpg,people:0.9539;adult:0.8809;clothing:0.7255;jeans:0.7251;structure:0.3347;sign:0.2793;fence:0.2605;banner:0.2178
000000016439.jpg,light:0.8784;lamp:0.8784;art:0.7399;decoration:0.7320;frame:0.7319;machine:0.4996;consumer_electronics:0.4996;computer:0.4996
000000016451.jpg,outdoor:0.9530;land:0.8965;beach:0.8965;liquid:0.8901;ocean:0.8901;water:0.8901;water_body:0.8901;sky:0.8433
000000016502.jpg,outdoor:0.8915;sky:0.8693;blue_sky:0.7725;cloudy:0.7603;structure:0.7456;rocks:0.7456;land:0.6128;grass:0.6128
000000016598.jpg,adult:0.9355;people:0.9355;clothing:0.7164;consumer_electronics:0.7139;machine:0.7139;necktie:0.6504;suit:0.5664;tableware:0.4234
000000016958.jpg,structure:0.9965;fireplace:0.9946;art:0.9048;decoration:0.8887;frame:0.8887;material:0.8648;textile:0.8540;wood_processed:0.7456
000000017029.jpg,land:0.9526;outdoor:0.9526;grass:0.9526;plant:0.8819;foliage:0.8169;structure:0.7505;wood_natural:0.7505;shrub:0.7324
000000017031.jpg,animal:0.9922;giraffe:0.9922;mammal:0.9922;ungulates:0.9922;plant:0.2932;foliage:0.2932;branch:0.0305;outdoor:0.0197
000000017115.jpg,animal:0.9609;mammal:0.9609;ungulates:0.9609;zebra:0.9609;structure:0.6970;fence:0.6968;outdoor:0.6793;land:0.6673
000000017178.jpg,structure:0.8564;fence:0.8530;animal:0.6494;mammal:0.6494;ungulates:0.6494;horse:0.6484;machine:0.6421;wheel:0.6405
000000017182.jpg,structure:0.9364;wood_processed:0.8237;chalkboard:0.8105;furniture:0.6058;conveyance:0.5991;portal:0.5991;door:0.5991;desk:0.5913
000000017207.jpg,machine:0.7495;automobile:0.7489;vehicle:0.7489;ambulance:0.7129;van:0.5225;structure:0.3409;conveyance:0.3408;portal:0.3408
000000017379.jpg,consumer_electronics:0.5522;machine:0.5522;television:0.5522;toilet_seat:0.4807;tool:0.4807;structure:0.4777;bathroom:0.4666;interior_room:0.4666
000000017436.jpg,lamppost:0.5981;light:0.5981;people:0.5729;adult:0.5728;outdoor:0.5522;sky:0.5435;cloudy:0.5435;structure:0.4091
000000017627.jpg,outdoor:0.9673;sky:0.9523;blue_sky:0.9521;machine:0.8194;automobile:0.8194;vehicle:0.8194;car:0.8110;land:0.7398
000000017714.jpg,structure:0.6886;wood_processed:0.6880;utensil:0.4741;tableware:0.4740;plate:0.4409;fork:0.3196;drink:0.2924;liquid:0.2924
000000017899.jpg,structure:0.9615;wood_processed:0.9263;furniture:0.7911;table:0.7891;utensil:0.7488;tableware:0.7488;drinking_glass:0.7354;people:0.6710
