image_id,scene_type,targets,confusables,distractors
000000005001.jpg,unusual,bicycle;handbag;person;scissors,motorcycle;scooter;moped;backpack,bench;trash can;traffic cone;street lamp;chair
000000007818.jpg,unusual,chair;dining table;fork;knife;vase;wine glass,bench;stool;couch;desk,plate;napkin;bottle;tablecloth;lamp
000000009448.jpg,unusual,person;umbrella,mannequin;statue;doll;kite,boat;towel;chair;backpack;bench
000000011511.jpg,unusual,bench;handbag;motorcycle;person,chair;stool;couch;backpack,trash can;bicycle;traffic cone;street lamp;book
000000014007.jpg,unusual,cat;refrigerator,dog;fox;raccoon;freezer,fence;tree;rock;grass;bird
000000017959.jpg,unusual,backpack;kite;person,handbag;suitcase;duffel bag;umbrella,boat;towel;chair;book;lamp
000000023751.jpg,unusual,kite,umbrella;flag;parachute,boat;towel;chair;backpack;book
000000035062.jpg,unusual,bed;person,couch;futon;sleeping bag;mannequin,lamp;dresser;nightstand;blanket;pillow
000000035963.jpg,unusual,teddy bear,dog;cat;stuffed rabbit,lamp;dresser;nightstand;blanket;pillow
000000042889.jpg,unusual,keyboard;teddy bear,laptop;calculator;remote;dog,lamp;dresser;nightstand;blanket;pillow
000000044068.jpg,unusual,chair;teddy bear,bench;stool;couch;dog,lamp;dresser;nightstand;blanket;pillow
000000050844.jpg,unusual,teddy bear,dog;cat;stuffed rabbit,lamp;dresser;nightstand;blanket;pillow
000000051326.jpg,unusual,vase,bottle;wine glass;potted plant,lamp;rug;curtain;shelf;coffee table
000000051961.jpg,unusual,parking meter,bollard;fire hydrant;mailbox,bench;trash can;bicycle;traffic cone;street lamp
000000085665.jpg,unusual,kite,umbrella;flag;parachute,boat;towel;chair;backpack;book
000000087038.jpg,unusual,bicycle;person;skateboard,motorcycle;scooter;moped;skateboarder,bench;backpack;water bottle;dog;trash can
000000106330.jpg,unusual,teddy bear,dog;cat;stuffed rabbit,lamp;dresser;nightstand;blanket;pillow
000000110999.jpg,unusual,apple;bowl;cup;fork;knife;orange;person;spoon,tomato;peach;plate;basket,chair;napkin;bottle;tablecloth;book
000000113403.jpg,unusual,bed;teddy bear,couch;futon;sleeping bag;dog,lamp;dresser;nightstand;blanket;pillow
000000121591.jpg,unusual,person;skateboard,skateboarder;snowboarder;surfer;snowboard,bench;backpack;bicycle;water bottle;dog
000000122745.jpg,unusual,stop sign,traffic light;parking meter;wall sign,bench;trash can;bicycle;traffic cone;street lamp
000000124442.jpg,unusual,kite;person,umbrella;flag;parachute;flag bearer,boat;towel;chair;backpack;book
000000130465.jpg,unusual,clock,mirror;picture frame;wall sign,bench;backpack;bicycle;trash can;dog
000000155051.jpg,unusual,clock,mirror;picture frame;wall sign,bench;backpack;bicycle;trash can;dog
000000156292.jpg,unusual,clock;handbag;person,mirror;picture frame;wall sign;backpack,bench;bicycle;trash can;dog;chair
000000166563.jpg,unusual,elephant,rhinoceros;hippopotamus;buffalo,fence;tree;rock;grass;bird
000000187236.jpg,unusual,cat;chair;couch,dog;fox;raccoon;bench,fence;tree;rock;grass;bird
000000200152.jpg,unusual,,traffic light;stop sign;billboard,parking meter;bench;trash can;car
000000232684.jpg,unusual,laptop;person,tablet;monitor;tv;mannequin,printer;book;cup;notebook;desk lamp
000000255749.jpg,unusual,bus;person,truck;train;tram;mannequin,bench;trash can;bicycle;traffic cone;street lamp
000000258388.jpg,unusual,person;skateboard,skateboarder;snowboarder;surfer;snowboard,bench;backpack;bicycle;water bottle;dog
000000344795.jpg,unusual,cake;oven,pie;bread;donut;microwave,chair;plate;napkin;bottle;tablecloth
000000477805.jpg,unusual,laptop;person,tablet;monitor;tv;mannequin,printer;book;cup;notebook;desk lamp
000000545219.jpg,unusual,backpack;bus;handbag;person,suitcase;duffel bag;truck;train,bench;trash can;bicycle;traffic cone;street lamp
